                                                                                                                                                                                                                                                           Definition    control    samples  Diferentes            ID
0   Homo sapiens 2'-5'-oligoadenylate synthetase-like (OASL), transcript variant 1, mRNA.                                                                                                                                                                              7.169522   9.330589   True        ILMN_1681721
1   Homo sapiens 2'-5'-oligoadenylate synthetase-like (OASL), transcript variant 2, mRNA.                                                                                                                                                                              8.640493   11.689284  True        ILMN_1674811
2   Homo sapiens Cbp/p300-interacting transactivator, with Glu/Asp-rich carboxy-terminal domain, 2 (CITED2), transcript variant 1, mRNA.                                                                                                                               7.588280   10.036881  True        ILMN_1663092
3   Homo sapiens G protein-coupled receptor 34 (GPR34), transcript variant 1, mRNA.                                                                                                                                                                                    7.686646   10.257268  True        ILMN_1701947
4   Homo sapiens G protein-coupled receptor 34 (GPR34), transcript variant 1, mRNA.                                                                                                                                                                                    7.686646   10.257268  True        ILMN_1778660
5   Homo sapiens Rho GDP dissociation inhibitor (GDI) beta (ARHGDIB), mRNA.                                                                                                                                                                                            11.869509  9.223971   True        ILMN_1678143
6   Homo sapiens chemokine (C-C motif) ligand 19 (CCL19), mRNA.                                                                                                                                                                                                        8.097131   10.684057  True        ILMN_1769129
7   Homo sapiens chemokine (C-C motif) ligand 3 (CCL3), mRNA.                                                                                                                                                                                                          9.017385   13.124133  True        ILMN_1671509
8   Homo sapiens chemokine (C-C motif) ligand 3-like 1 (CCL3L1), mRNA.                                                                                                                                                                                                 8.049008   12.545344  True        ILMN_1747355
9   Homo sapiens chemokine (C-C motif) ligand 3-like 1 (CCL3L1), mRNA.                                                                                                                                                                                                 8.049008   12.545344  True        ILMN_1773245
10  Homo sapiens chemokine (C-C motif) ligand 3-like 1 (CCL3L1), mRNA.                                                                                                                                                                                                 8.049008   12.545344  True        ILMN_2218856
11  Homo sapiens chemokine (C-C motif) ligand 3-like 3 (CCL3L3), mRNA.                                                                                                                                                                                                 9.834858   13.788712  True        ILMN_2105573
12  Homo sapiens chemokine (C-C motif) ligand 4-like 1 (CCL4L1), mRNA.                                                                                                                                                                                                 7.925344   11.911906  True        ILMN_2100209
13  Homo sapiens chemokine (C-C motif) ligand 4-like 2 (CCL4L2), mRNA.                                                                                                                                                                                                 8.745807   12.323046  True        ILMN_1677591
14  Homo sapiens chemokine (C-C motif) ligand 4-like 2 (CCL4L2), mRNA.                                                                                                                                                                                                 8.745807   12.323046  True        ILMN_1716276
15  Homo sapiens chemokine (C-C motif) ligand 5 (CCL5), mRNA.                                                                                                                                                                                                          8.152368   13.264477  True        ILMN_1773352
16  Homo sapiens chemokine (C-C motif) ligand 5 (CCL5), mRNA.                                                                                                                                                                                                          8.152368   13.264477  True        ILMN_2098126
17  Homo sapiens chemokine (C-X-C motif) ligand 10 (CXCL10), mRNA.                                                                                                                                                                                                     8.908101   12.933312  True        ILMN_1791759
18  Homo sapiens chemokine (C-X-C motif) ligand 11 (CXCL11), mRNA.                                                                                                                                                                                                     6.790275   9.803264   True        ILMN_2067890
19  Homo sapiens chemokine (C-X-C motif) ligand 11 (CXCL11), mRNA.                                                                                                                                                                                                     6.790275   9.803264   True        ILMN_2067895
20  Homo sapiens chemokine (C-X-C motif) ligand 9 (CXCL9), mRNA.                                                                                                                                                                                                       6.989593   9.661606   True        ILMN_1745356
21  Homo sapiens chromosome 12 open reading frame 48 (C12orf48), mRNA.                                                                                                                                                                                                 7.424701   9.636147   True        ILMN_1654429
22  Homo sapiens chromosome 12 open reading frame 48 (C12orf48), mRNA.                                                                                                                                                                                                 7.424701   9.636147   True        ILMN_1727055
